$Date;$Time;FH11_Z2C_TEMP_SP;FH11_Z2C_TEMP_PV;FH11_Z1C_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z2_TEMP_LT;FH11_Z2_TEMP_RT;FH11_PULL;FH11_Z2L_MIX_VLV_POS_PV;FH11_Z2R_MIX_VLV_POS_PV;FH11_Z2L_MIX_PRES_PV;FH11_Z2R_MIX_PRES_PV;FH11_Z2_CLN_VLV_POS_PV;FH11_Z2_WG_DMP_POS_PV
08/17/17;10:35:15;1167;1165.336;1178.067;1159.549;1171.123;1170.689;46.01521;28.125;18.66319;1.247106;1.085069;16.23264;4.298942
08/17/17;10:35:16;1167;1165.336;1178.067;1159.549;1171.123;1170.833;46.01521;28.03819;18.66319;1.206597;1.070602;16.23264;4.21627
08/17/17;10:35:17;1167;1165.336;1178.067;1159.549;1171.123;1170.689;46.01521;27.40162;18.66319;1.125579;1.076389;16.40625;4.21627
08/17/17;10:35:18;1167;1165.336;1178.067;1159.549;1171.123;1170.689;46.01521;27.40162;18.66319;1.119792;1.076389;16.40625;4.21627
08/17/17;10:35:19;1167;1165.336;1178.067;1159.259;1171.123;1170.689;46.01521;27.40162;18.66319;1.119792;1.061921;16.40625;4.298942
08/17/17;10:35:20;1167;1165.336;1178.212;1159.549;1171.123;1170.689;46.01521;27.40162;18.66319;1.114005;1.082176;16.40625;4.21627
08/17/17;10:35:21;1167;1165.336;1178.212;1159.549;1171.123;1170.689;46.01521;27.40162;18.66319;1.119792;1.073495;16.40625;4.298942
08/17/17;10:35:22;1167;1165.336;1178.212;1159.549;1171.123;1170.833;46.01521;27.40162;18.66319;1.125579;1.067708;16.40625;4.298942
08/17/17;10:35:23;1167;1165.336;1178.212;1159.549;1171.123;1170.833;46.01521;27.40162;18.66319;1.114005;1.070602;16.46412;4.21627
08/17/17;10:35:24;1167;1165.336;1178.212;1159.549;1171.123;1170.833;46.01521;27.40162;18.66319;1.114005;1.070602;16.46412;4.21627
08/17/17;10:35:25;1167;1165.48;1178.139;1159.259;1171.123;1170.833;46.01521;27.40162;18.28704;1.119792;1.038773;16.40625;4.21627
08/17/17;10:35:26;1167;1165.48;1178.284;1159.549;1171.123;1170.833;46.01521;27.40162;18.28704;1.116898;1.018518;16.46412;4.21627
08/17/17;10:35:27;1167;1165.48;1178.212;1159.259;1171.123;1170.689;46.01521;27.40162;18.28704;1.119792;1.030093;16.98495;4.21627
08/17/17;10:35:28;1167;1165.48;1178.212;1159.259;1171.123;1170.833;46.01521;27.40162;18.28704;1.128472;1.047454;16.95602;4.298942
08/17/17;10:35:29;1167;1165.48;1178.284;1159.259;1171.123;1170.833;46.01521;27.40162;18.28704;1.134259;1.032986;16.98495;4.298942
08/17/17;10:35:30;1167;1165.336;1178.212;1159.259;1171.123;1170.833;46.01521;27.40162;18.28704;1.116898;1.038773;16.98495;4.298942
08/17/17;10:35:31;1167;1165.48;1178.284;1159.259;1171.123;1170.833;46.01521;27.40162;18.05556;1.119792;0.9809028;17.39005;4.21627
08/17/17;10:35:32;1167;1165.48;1178.284;1159.259;1171.267;1170.833;46.01521;27.40162;18.05556;1.125579;0.9809028;17.41898;4.21627
08/17/17;10:35:33;1167;1165.48;1178.212;1159.259;1171.123;1170.833;46.01521;27.40162;18.05556;1.119792;0.9866898;17.41898;4.21627
08/17/17;10:35:34;1167;1165.336;1178.284;1159.259;1171.123;1170.833;46.01521;27.40162;18.05556;1.114005;0.9895833;17.41898;4.298942
08/17/17;10:35:35;1167;1165.336;1178.284;1159.259;1171.123;1170.833;46.01521;27.40162;18.05556;1.114005;0.9895833;17.41898;4.298942
08/17/17;10:35:36;1167;1165.48;1178.212;1159.259;1171.123;1170.689;46.01521;27.40162;18.05556;1.119792;0.9866898;17.41898;4.21627
08/17/17;10:35:37;1167;1165.48;1178.212;1159.259;1171.123;1170.689;46.01521;27.40162;18.05556;1.119792;0.9866898;17.41898;4.21627
08/17/17;10:35:38;1167;1165.48;1178.356;1159.259;1171.123;1170.689;46.01521;27.40162;18.05556;1.131366;0.9895833;17.41898;4.21627
08/17/17;10:35:39;1167;1165.48;1178.284;1159.259;1171.123;1170.689;46.01521;27.40162;18.05556;1.119792;0.9809028;17.41898;4.298942
08/17/17;10:35:40;1167;1165.48;1178.356;1159.259;1171.123;1170.833;46.01521;27.40162;18.05556;1.128472;0.9809028;17.41898;4.21627
