$Date;$Time;FH11_Z4_TEMP_SP;FH11_Z4_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z3_TEMP_MT;FH11_Z3_TEMP_MB;FH11_Z4_TEMP_MB;FH11_Z4_TEMP_MM;FH11_Z4_TEMP_MT;FH11_Z4_MIX_VLV_POS_PV;FH11_Z4_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL;FU_PULL
08/17/17;10:36:03;1157;1156.076;1159.115;1159.115;1162.876;1162.008;1160.272;1156.076;26.0706;1.967592;0.6;6;46.01521;90.89281
08/17/17;10:36:04;1157;1156.076;1159.115;1159.115;1162.876;1162.153;1160.272;1156.076;26.0706;1.958912;0.6;6;46.01521;90.89281
08/17/17;10:36:05;1157;1156.076;1158.97;1158.97;1162.876;1162.008;1160.272;1156.076;26.0706;1.970486;0.6;6;46.01521;90.89281
08/17/17;10:36:06;1157;1156.076;1158.97;1158.97;1162.876;1162.008;1160.272;1156.076;26.0706;1.98206;0.6;6;46.01521;90.89281
08/17/17;10:36:07;1157;1156.076;1158.97;1158.97;1162.876;1162.008;1160.272;1156.076;26.0706;1.956018;0.6;6;46.01521;90.89281
08/17/17;10:36:08;1157;1156.076;1158.97;1158.97;1162.876;1161.863;1160.272;1156.076;26.0706;1.967592;0.6;6;46.01521;90.89281
08/17/17;10:36:09;1157;1156.076;1158.97;1158.97;1162.876;1161.863;1159.983;1156.076;26.0706;1.98206;0.6;6;46.01521;90.89281
08/17/17;10:36:10;1157;1156.076;1158.97;1158.97;1162.876;1161.863;1159.983;1156.076;26.0706;1.964699;0.6;6;46.01521;90.89281
08/17/17;10:36:11;1157;1156.076;1158.97;1158.97;1162.876;1161.863;1159.983;1156.076;26.0706;1.967592;0.6;6;46.01521;90.89281
08/17/17;10:36:12;1157;1156.076;1158.97;1158.97;1162.876;1161.863;1159.983;1156.076;26.0706;1.964699;0.6;6;46.01521;90.89281
08/17/17;10:36:13;1157;1156.076;1158.97;1158.97;1162.876;1161.863;1160.272;1156.076;26.0706;1.979167;0.6;6;46.01521;90.89281
08/17/17;10:36:14;1157;1156.076;1158.97;1158.97;1162.876;1161.863;1159.983;1156.076;26.0706;1.970486;0.6;6;46.01521;90.89281
08/17/17;10:36:15;1157;1156.076;1158.97;1158.97;1162.876;1161.863;1159.983;1156.076;26.0706;1.958912;0.6;6;46.01521;90.89281
08/17/17;10:36:16;1157;1156.076;1158.97;1158.97;1162.876;1161.863;1159.983;1156.076;26.0706;1.970486;0.6;6;46.01521;90.89281
08/17/17;10:36:17;1157;1156.221;1158.97;1158.97;1162.876;1161.863;1159.983;1156.221;26.0706;1.970486;0.6;6;46.01521;90.89281
08/17/17;10:36:18;1157;1156.221;1158.97;1158.97;1162.876;1161.863;1159.838;1156.221;26.0706;1.958912;0.6;6;46.01521;90.89281
08/17/17;10:36:19;1157;1156.221;1158.825;1158.825;1162.876;1161.863;1159.983;1156.221;25.86806;1.967592;0.6;6;46.01521;90.89281
08/17/17;10:36:20;1157;1156.221;1158.97;1158.97;1162.876;1161.863;1159.983;1156.221;25.72338;1.953125;0.6;6;46.01521;90.89281
08/17/17;10:36:21;1157;1156.221;1158.97;1158.97;1162.876;1161.863;1159.838;1156.221;25.43403;1.956018;0.6;6;46.01521;90.89281
08/17/17;10:36:22;1157;1156.221;1158.97;1158.97;1162.731;1161.863;1159.838;1156.221;25.43403;1.941551;0.6;6;46.01521;90.89281
08/17/17;10:36:23;1157;1156.221;1158.97;1158.97;1162.731;1161.863;1159.838;1156.221;25.17361;1.944444;0.6;6;46.01521;90.89281
08/17/17;10:36:24;1157;1156.221;1158.825;1158.825;1162.731;1161.863;1159.838;1156.221;25.17361;1.935764;0.6;6;46.01521;90.89281
08/17/17;10:36:25;1157;1156.221;1158.825;1158.825;1162.731;1161.863;1159.838;1156.221;25.17361;1.935764;0.6;6;46.01521;90.89281
08/17/17;10:36:26;1157;1156.221;1158.825;1158.825;1162.731;1161.863;1159.838;1156.221;25.17361;1.956018;0.6;6;46.01521;90.89281
08/17/17;10:36:27;1157;1156.366;1158.825;1158.825;1162.587;1161.863;1159.838;1156.366;25.17361;1.953125;0.6;6;46.01521;90.89281
08/17/17;10:36:28;1157;1156.366;1158.825;1158.825;1162.731;1161.719;1159.838;1156.366;25.17361;1.941551;0.6;6;46.01521;90.89281
08/17/17;10:36:29;1157;1156.366;1158.825;1158.825;1162.587;1161.719;1159.838;1156.366;25.17361;1.938657;0.6;6;46.01521;90.89281
08/17/17;10:36:30;1157;1156.366;1158.825;1158.825;1162.731;1161.719;1159.838;1156.366;25.17361;1.958912;0.6;6;46.01521;90.89281
08/17/17;10:36:31;1157;1156.366;1158.825;1158.825;1162.731;1161.429;1159.838;1156.366;24.45023;1.863426;0.6;6;46.01521;90.89281
08/17/17;10:36:32;1157;1156.366;1158.825;1158.825;1162.587;1161.719;1159.838;1156.366;24.16088;1.741898;0.6;6;46.01521;90.89281
08/17/17;10:36:33;1157;1156.366;1158.825;1158.825;1162.587;1161.719;1159.838;1156.366;24.16088;1.747685;0.6;6;46.01521;90.89281
