$Date;$Time;FH11_Z1_TEMP_SP;FH11_Z1_TEMP_PV;WE_ZR_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z1_MIX_PRES_PV;FH11_Z1_MIX_VLV_POS_PV;FH11_PULL;FH11_Z1A_CD_POS_PV;FH11_Z1BL_CD_POS_PV;FH11_Z1BR_CD_POS_PV
08/17/17;11:26:18;1176;1176.005;1269.068;1165.625;1.71875;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:19;1176;1176.042;1269.068;1165.625;1.71875;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:20;1176;1176.042;1269.213;1165.48;1.724537;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:26:21;1176;1176.042;1269.068;1165.625;1.721643;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:22;1176;1176.042;1269.213;1165.625;1.712963;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:26:23;1176;1176.042;1269.068;1165.625;1.712963;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:24;1176;1176.042;1269.068;1165.625;1.721643;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:26:25;1176;1176.042;1269.068;1165.625;1.71875;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:26:26;1176;1176.114;1269.213;1165.48;1.712963;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:26:27;1176;1176.114;1269.213;1165.625;1.727431;34.25926;46.01521;41.29051;85.53241;14.03357
08/17/17;11:26:28;1176;1176.114;1269.213;1165.625;1.712963;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:29;1176;1176.114;1269.068;1165.625;1.727431;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:30;1176;1176.114;1269.213;1165.625;1.707176;34.25926;46.01521;41.29051;85.53241;14.03357
08/17/17;11:26:31;1176;1176.259;1269.213;1165.625;1.721643;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:32;1176;1176.259;1269.068;1165.625;1.712963;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:33;1176;1176.259;1269.068;1165.625;1.724537;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:34;1176;1176.259;1269.213;1165.625;1.721643;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:35;1176;1176.259;1269.502;1165.625;1.712963;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:26:36;1176;1176.259;1269.213;1165.625;1.71875;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:37;1176;1176.295;1269.502;1165.48;1.721643;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:38;1176;1176.367;1269.213;1165.625;1.727431;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:39;1176;1176.295;1269.213;1165.625;1.721643;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:40;1176;1176.295;1269.213;1165.48;1.727431;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:41;1176;1176.367;1269.068;1165.625;1.712963;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:42;1176;1176.367;1269.213;1165.48;1.710069;34.25926;46.01521;41.34838;85.53241;14.03357
08/17/17;11:26:43;1176;1176.367;1269.068;1165.48;1.727431;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:44;1176;1176.403;1269.213;1165.48;1.721643;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:45;1176;1176.367;1269.502;1165.48;1.727431;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:46;1176;1176.403;1269.213;1165.625;1.710069;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:26:47;1176;1176.476;1269.213;1165.48;1.712963;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:48;1176;1176.439;1269.068;1165.625;1.710069;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:49;1176;1176.439;1269.068;1165.48;1.727431;34.25926;46.01521;41.29051;85.53241;14.03357
08/17/17;11:26:50;1176;1176.403;1269.213;1165.48;1.721643;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:26:51;1176;1176.403;1269.213;1165.625;1.712963;34.25926;46.01521;41.29051;85.53241;14.03357
08/17/17;11:26:52;1176;1176.403;1269.213;1165.625;1.721643;34.25926;46.01521;41.29051;85.53241;14.03357
08/17/17;11:26:53;1176;1176.476;1269.068;1165.625;1.721643;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:26:54;1176;1176.548;1269.213;1165.625;1.71875;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:26:55;1176;1176.548;1269.502;1165.625;1.712963;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:56;1176;1176.548;1269.213;1165.625;1.727431;34.25926;46.01521;41.29051;85.53241;14.03357
08/17/17;11:26:57;1176;1176.548;1269.502;1165.48;1.727431;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:26:58;1176;1176.548;1269.502;1165.625;1.71875;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:26:59;1176;1176.548;1269.502;1165.625;1.71875;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:27:00;1176;1176.548;1269.502;1165.625;1.733217;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:27:01;1176;1176.548;1269.068;1165.48;1.724537;34.25926;46.01521;41.26158;85.53241;14.00463
08/17/17;11:27:02;1176;1176.548;1269.068;1165.625;1.71875;34.25926;46.01521;41.29051;85.53241;14.00463
08/17/17;11:27:03;1176;1176.62;1269.213;1165.625;1.721643;34.25926;46.01521;41.26158;85.53241;14.03357
08/17/17;11:27:04;1176;1176.62;1269.068;1165.625;1.707176;34.11458;46.01521;41.26158;85.53241;14.00463
08/17/17;11:27:05;1176;1176.62;1269.502;1165.625;1.710069;34.11458;46.01521;41.26158;85.53241;14.00463
08/17/17;11:27:06;1176;1176.657;1269.213;1165.48;1.704282;33.53588;46.01521;41.29051;85.53241;14.00463
