$Date;$Time;FH11_Z3_TEMP_SP;FH11_Z3_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z4_TEMP_PV;FH11_Z3_WG_DMP_POS_PV;FH11_Z3_CLN_VLV_POS_PV;FH11_Z3_MIX_VLV_POS_PV;FH11_Z3_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL
08/17/17;10:36:19;1162;1158.825;1165.48;1156.221;14.96362;16.95602;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:20;1162;1158.97;1165.625;1156.221;14.96362;16.95602;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:36:21;1162;1158.97;1165.625;1156.221;14.96362;16.95602;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:22;1162;1158.97;1165.48;1156.221;14.96362;16.95602;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:23;1162;1158.97;1165.625;1156.221;14.96362;16.63773;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:24;1162;1158.825;1165.48;1156.221;14.96362;16.63773;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:25;1162;1158.825;1165.48;1156.221;13.5582;15.97222;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:26;1162;1158.825;1165.48;1156.221;11.65675;15.68287;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:27;1162;1158.825;1165.625;1156.366;11.73942;15.0463;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:36:28;1162;1158.825;1165.48;1156.366;11.73942;15.01736;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:29;1162;1158.825;1165.48;1156.366;11.73942;15.01736;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:30;1162;1158.825;1165.48;1156.366;11.73942;15.01736;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:31;1162;1158.825;1165.48;1156.366;11.73942;15.01736;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:32;1162;1158.825;1165.48;1156.366;11.65675;15.01736;23.20602;0.7262731;0.6;6;46.01521
08/17/17;10:36:33;1162;1158.825;1165.48;1156.366;11.73942;14.6412;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:34;1162;1158.825;1165.625;1156.366;11.73942;14.6412;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:35;1162;1158.825;1165.48;1156.366;11.65675;14.6412;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:36:36;1162;1158.825;1165.48;1156.366;11.73942;14.6412;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:37;1162;1158.825;1165.48;1156.366;11.73942;14.6412;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:38;1162;1158.825;1165.48;1156.655;11.65675;14.6412;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:39;1162;1158.825;1165.48;1156.655;11.73942;14.23611;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:40;1162;1158.825;1165.625;1156.655;11.73942;14.23611;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:41;1162;1158.825;1165.48;1156.655;11.73942;14.23611;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:42;1162;1158.825;1165.48;1156.366;11.73942;14.23611;23.20602;0.7378472;0.6;6;46.01521
