nr;FH11_PULL
372;55.425020
373;55.425020
374;55.425020
375;55.425020
376;55.425020
377;55.425020
378;55.425020
379;55.425020
380;55.425020
381;55.425020
382;55.425020
383;55.425020
384;55.425020
385;55.425020
386;55.425020
387;55.425020
388;55.425020
389;55.425020
390;55.425020
391;55.425020
392;55.425020
393;55.425020
394;55.425020
395;55.425020
396;55.425020
397;55.425020
398;55.425020
399;55.425020
400;55.425020
401;55.425020
402;55.425020
403;55.425020
404;55.425020
405;55.425020
406;55.425020
407;55.425020
408;55.425020
409;55.425020
410;55.425020
411;55.425020
412;55.425020
413;55.425020
414;55.425020
415;55.425020
416;55.425020
417;55.425020
418;55.425020
419;55.425020
420;55.425020
421;55.425020
422;55.425020
423;55.425020
424;55.425020
425;55.425020
426;55.425020
427;55.425020
428;55.425020
429;55.425020
430;55.425020
431;55.425020
432;55.425020
433;55.425020
434;55.425020
435;55.425020
436;55.425020
437;55.425020
438;55.425020
439;55.425020
440;55.425020
441;55.425020
442;55.425020
443;55.425020
444;55.425020
445;55.425020
446;55.425020
447;55.425020
448;55.425020
449;55.425020
450;55.425020
451;55.425020
452;55.425020
453;55.425020
454;55.425020
455;55.425020
456;55.425020
457;55.425020
458;55.425020
459;55.425020
460;55.425020
461;55.425020
462;55.425020
463;55.425020
464;55.425020
465;55.425020
466;55.425020
467;55.425020
468;55.425020
469;55.425020
470;55.425020
471;55.425020
472;55.425020
473;55.425020
474;55.425020
475;55.425020
476;55.425020
477;55.425020
478;55.425020
479;55.425020
480;55.425020
481;55.425020
482;55.425020
483;55.425020
484;55.425020
485;55.425020
486;55.425020
487;55.425020
488;55.425020
489;55.425020
490;55.425020
491;55.425020
492;55.425020
493;55.425020
494;55.425020
495;55.425020
496;55.425020
497;55.425020
498;55.425020
499;55.425020
500;55.425020
501;55.425020
502;55.425020
503;55.425020
504;55.425020
505;55.425020
506;55.425020
507;55.425020
508;55.425020
509;55.425020
510;55.425020
511;55.425020
512;55.425020
513;55.425020
514;55.425020
515;55.425020
516;55.425020
517;55.425020
518;55.425020
519;55.425020
520;55.425020
521;55.425020
522;55.425020
523;55.425020
524;55.425020
525;55.425020
526;55.425020
527;55.425020
528;55.425020
529;55.425020
530;55.425020
531;55.425020
532;55.425020
533;55.425020
534;55.425020
535;55.425020
536;55.425020
537;55.425020
538;55.425020
539;55.425020
540;55.425020
541;55.425020
542;55.425020
543;55.425020
544;55.425020
545;55.425020
546;55.425020
