$Date;$Time;FH11_Z3_TEMP_SP;FH11_Z3_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z4_TEMP_PV;FH11_Z3_MIX_VLV_POS_PV;FH11_Z3_MIX_PRES_PV;FH11_PULL
05/04/18;11:30:32;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:30:33;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:30:34;1184;1184.144;1185.735;1180.237;29.7743;1.362847;44.98286
05/04/18;11:30:35;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:30:36;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:30:37;1184;1184.144;1185.735;1180.237;29.7743;1.34838;44.98286
05/04/18;11:30:38;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:30:39;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:30:40;1184;1184.144;1185.735;1180.237;29.7743;1.351273;44.98286
05/04/18;11:30:41;1184;1184.144;1185.735;1180.237;29.7743;1.377315;44.98286
05/04/18;11:30:42;1184;1184.144;1185.735;1180.237;29.7743;1.362847;44.98286
05/04/18;11:30:43;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:30:44;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:30:45;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:30:46;1184;1184.144;1185.735;1180.237;29.7743;1.34838;44.98286
05/04/18;11:30:47;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:30:48;1184;1184.144;1185.88;1180.237;29.7743;1.371528;44.98286
05/04/18;11:30:49;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:30:50;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:30:51;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:30:52;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:30:53;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:30:54;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:30:55;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:30:56;1184;1184.144;1185.735;1180.237;29.7743;1.380208;44.98286
05/04/18;11:30:57;1184;1184.144;1185.735;1180.093;29.7743;1.345486;44.98286
05/04/18;11:30:58;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:30:59;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:31:00;1184;1184.144;1185.735;1180.093;29.7743;1.371528;44.98286
05/04/18;11:31:01;1184;1184.144;1185.735;1180.237;29.7743;1.362847;44.98286
05/04/18;11:31:02;1184;1184.144;1185.735;1180.237;29.7743;1.385995;44.98286
05/04/18;11:31:03;1184;1184.144;1185.735;1180.237;29.7743;1.351273;44.98286
05/04/18;11:31:04;1184;1184.144;1185.735;1180.237;29.7743;1.362847;44.98286
05/04/18;11:31:05;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:31:06;1184;1184.144;1185.735;1180.237;29.7743;1.35706;44.98286
05/04/18;11:31:07;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:31:08;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:31:09;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:31:10;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:31:11;1184;1184.144;1185.735;1180.237;29.7743;1.388889;44.98286
05/04/18;11:31:12;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:31:13;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:31:14;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:31:15;1184;1184.144;1185.88;1180.237;29.7743;1.34838;44.98286
05/04/18;11:31:16;1184;1184.144;1185.735;1180.237;29.7743;1.362847;44.98286
05/04/18;11:31:17;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:31:18;1184;1184.144;1185.735;1180.237;29.7743;1.34838;44.98286
05/04/18;11:31:19;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:31:20;1184;1184.144;1185.735;1180.237;29.7743;1.377315;44.98286
05/04/18;11:31:21;1184;1184.144;1185.735;1180.237;29.7743;1.351273;44.98286
05/04/18;11:31:22;1184;1184.144;1185.735;1180.237;29.7743;1.35706;44.98286
05/04/18;11:31:23;1184;1184.144;1185.88;1180.237;29.7743;1.365741;44.98286
05/04/18;11:31:24;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:31:25;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:31:26;1184;1184.144;1185.735;1180.237;29.7743;1.34838;44.98286
05/04/18;11:31:27;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:31:28;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:31:29;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:31:30;1184;1184.144;1185.735;1180.237;29.7743;1.35706;44.98286
05/04/18;11:31:31;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
